Dons,Src,Conditions,Avantages
Enchaînement élargi*,MR,"For 13, Enchaînement, Attaque en puissance, BBA +11, nain",Déplacement d'1.5m entre les enchaînements pour menacer plus de créatures
Enchaînement final*,AG,"For 13, Enchaînement, Attaque en puissance",Attaque supplémentaire si l'ennemi tombe
Enchaînement surprise*,MR,"Demi-orque ou orque, For 13, Enchaînement, Attaque en puissance, BBA +1",Fait perdre son bonus de Dextérité à la CA d'un unique adversaire pendant un enchaînement
Enchaîner les gobelins*,MR,"For 13, Enchaînement, Attaque en puissance, nain","Cible plus de créatures pendant un enchaînement si elles sont plus petites que le personnage, +2 à l'attaque contre ces créatures"
Enchantement dual,MCA,Combat à deux armes; capacité de classe pacte divin (arme) ou arme sacrée,Le personnage imprègne deux armes de son pouvoir de pacte divin ou d'arme sacrée au lieu d'une seule
Enchantements subtiles,UI,"École renforcée (enchantement), Fourberie",Les victimes et les observateurs ne remarquent pas les enchantements du personnage
Endurance,MJ,—,"Le personnage bénéficie d’un bonus de +4 à chacun des tests et jets de sauvegarde suivants :
test de Natation pour résister à des dégâts temporaires dus à la fatigue , tests de Constitution pour continuer à courir, tests de Constitution pour éviter les dégâts non-létaux infligés par une marche forcée, tests de Constitution pour retenir sa respiration, tests de Constitution pour éviter les dégâts non-létaux infligés par la famine ou la soif , jets de Vigueur pour éviter les dégâts non-létaux infligés par les climats chauds ou froids et jets de Vigueur pour résister aux dégâts infligés par l’ asphyxie .
Le personnage peut également dormir en armure légère ou intermédiaire sans être fatigué le lendemain.

Le bonus aux tests et aux jets de sauvegarde conférés par Endurance augmente de la moitié du grade du personnage. Il subit la moitié des dégâts lorsqu’il rate un test effectué pour éviter les dégâts non-létaux infligés par une marche forcée , la faim ou la soif , les environnements chauds ou froids , ou l’ asphyxie . Le personnage peut dormir en armure lourde sans être fatigué le lendemain."
Endurance combative*,PU,BBA +1,Gain d'une réserve d'endurance qui aide le personnage a améliorer ses capacités au combat.
Endurance supplémentaire*,PU,"Endurance combative, BBA +5",3 points de réserve d'endurance supplémentaires
Enfant de deux destins,ISR,"5 rangs en Connaissances (folklore local), demi-elfe",Accède à un don de travail d'équipe d'un allié humain ou elfe temporairement
Engagement ferme*,D&M,"Attaques réflexes, Immobiliser, suivant d'Irori",Désarmement ou croc-en-jambe par une action immédiate en utilisant Immobiliser
Ennemi des métamorphes,AG,"5 rangs en Connaissances (mystères ou nature), capacité à utilisé un effet de métamorphose","Quand le personnage inflige des dégâts, il entrave les capacités de métamorphose de sa cible"
Ennemi modulable*,DTT,"BBA +5, capacité de classe ennemi juré (humanoïde ou extérieur)","1 fois par jour, change le sous-type d'humanoïde ou d'extérieur de l'ennemi juré"
Enquêteur amateur,MCA,"Int 13, 1 rang dans une Connaissances au choix, aucun niveau dans une classe dotée d'inspiration","Gain d'une réserve d'inspiration mineure à utiliser pour les tests de Connaissances, de Linguistique ou d'Art de la magie"
Enragé inflexible,MR,"Orque, capacité de classe rage de berserker",Résiste à la peur pendant une rage
Entraînement au combat féroce*,AG,"Science du combat à mains nues, Arme de prédilection avec l'arme naturelle choisie",Peut utiliser des dons de combat à mains nues avec des armes naturelles
Entraînement aux armes avancé*,WMH,"Guerrier de niveau 5, capacité de classe entraînement aux armes",Gain d'une option d'entraînement aux armes avancé
Entraînement aux armures avancé*,AMH,"Capacité de classe entraînement aux armures, guerrier de niveau 3",Gain d'une option d'entraînement aux armures avancé
Entraînement aux armures renforcé*,AG,Port de l'armure ou du bouclier utilisé,Briser l'armure ou le bouclier pour transformer un coup critique en coup normal
Entraînement défensif aux armes*,AG,"Int 13, BBA +5",Bonus d'esquive de +2 contre un groupe d'armes de guerrier
Entraînement guerrier elfique*,MR,"BBA +1, elfe",Bonus avec les armes elfiques traditionnelles
Entraînement rapide*,UI,"Int 13, capacité de classe courage +3, guerrier de niveau 10",Étudie avec un allié pour apprendre un don de combat
Entraînement supérieur*,MJRA,"For 13, Science de l'entraînement, Attaque en puissance, BBA +6",Les ennemis entraînés provoquent des attaques d'opportunité
Entraîner au sol*,AG,"Int 13, Expertise du combat, Science du croc-en-jambe","Si le personnage est victime d'un croc-en-jambe, il peut en faire un à son adversaire"
Entrave à distance*,AG,"Science de la lutte, Science du croc-en-jambe, Science du combat à mains nues, Lancer ki","Après un Lancer ki réussi, le personnage peut tenter une lutte"
Épée et pistolet*,AG,"Dex 13, Tir à bout portant, Tir rapide, Tir soudain, Combat à deux armes, BBA +6",Les attaques à distance ne provoquent pas d'attaque d'opportunité
Équilibre spirituel,AO,Capacités de classe réserve de ki et sérénité,"Sérénité s'applique contre la possession, dépense de ki pour doubler le bonus"
Érudit,CCMI,—,Bonus de +2 à deux compétences de Connaissances
Esclave de galère,RSE,"2 rangs en Profession (marin), le personnage doit être ou doit avoir été un esclave de galère",Bonus à bord d'un navire
Esprit concentré,AO,Capacité de classe bonus spirituel,Augmente le bonus spirituel d'une légende de 1
Esprit de l'école de magie,MR,"1 rang en Bluff, capacité de classe école de magie, gnome",Discours élogieux des sorts de l'école de magie du personnage pour qu'y résister soit plus difficile
Esprit des étendues sauvages,MR,"Harmonie sauvage, Gardien des étendues sauvages, elfe",Devient plus perceptif dans l'environnement choisi
Esprit elfique,MR,Demi-elfe,Gain du trait magie elfique
Esprit humain,MR,Demi-elfe,Gain d'1 point de compétence par dé de vie (maximum 4)
Esprit libre,CCMI,"Cha 13, alignement Chaotique",bonus de +2 aux jets de sauvegarde contre les effets mentaux et les tentatives de détection des pensées
Esprit ordonné,D&M,"NLS 7, alignement Loyal",Effectue des contresorts avec n'importe quel sort de la même école
Esprit tenace,RSE,"Cha 15, Int 15, ou Sag 15 (voir Spécial)",Un test de Volonté peut permettre de conserver un sort lorsque le personnage rate un test de concentration pour le lancer sur la défensive
Esquive*,MJ,Dex 13,Bonus d'esquive de +1 à la CA
Esquive acrobatique,AG,"Capacités de classe esquive totale et esquive surnaturelle, 12 rangs en Acrobaties","Si le personnage réussit une esquive surnaturelle, il peut se déplacer de la moitié de sa vitesse"
Esquive anticipée*,MCA,"Esquive, Souplesse du serpent; BBA +7, lutteur de niveau 4, ou moine de niveau 4",Le personnage gagne un bonus maximal de +2 aux jets d'attaque contre les créatures ayant un bonus d'esquive
Esquive de l'ombre,D&M,"Dex 13, suivant de Norgorber",Bonus d'esquive de +3 à la CA dans les zones de lumière normale et faible
Esquiver les nuées,RSE,"Dex 15, capacité esquive totale",Esquive les dégâts des nuées lorsqu'elles attaquent
Étourdir l'immobile*,AG,"Science de la lutte, Science du combat à mains nues, Coup étourdissant",Coup étourdissant contre les adversaires immobilisés
Étourdissement du cornugon*,RSE,Coup étourdissant,Utilise Coup étourdissant avec des armes de moine aussi bien qu'à mains nues
Étrange héritage,AM,"Cha 13, Talent avec la capacité de classe du lignage choisi (voir texte), personnage de niveau 3",Gain d'un pouvoir de lignage
Étrange héritage supérieur,AM,"Cha 17, Étrange héritage, Science de l'étrange héritage, personnage de niveau 17",Gain d'un pouvoir de lignage
Étreinte étouffante*,AG,"Science de la lutte, Science du combat à mains nues, BBA +6 ou moine de niveau 5",Le personnage peut immobiliser un ennemi d'une catégorie de taille de plus que la sienne
Étreinte fatale*,AG,"For 13, Int 3; naga, homme-serpent, ou créature avec la capacité raciale constriction; BBA +3",Constriction et étreinte comme attaques spéciales
Étude à distance,MCA,"Arme de prédilection avec 'larme choisie, combat étudié",Le personnage choisit une arme à distance et l'utilise avec Combat étudié
Études approfondies,MCA,"Sag 17, chasseur ou prêtre combattant de niveau 16",Le personnage ajoute les sorts de niveau 7 de sa liste mère à sa liste de sorts de classe pour utiliser des objets magiques
Euphorie du pesh,CSU,Sahir-afiyun ou addict au pesh,Résiste mieux aux effets d'émotion et de peur sous l'effet du pesh
Éventration à deux armes*,MJ,"Double frappe, Science du combat à deux armes, BBA +11",Éventre un adversaire en utilisant deux armes
Éventration de l'immobile*,AG,"Dex 13, Lutte supérieure, Science de la lutte, Science du combat à mains nues, BBA +9 ou moine de niveau 9",Le personnage peut infliger des dégâts de saignement lors du test de lutte si son adversaire est immobilisé
Éventration supérieure*,CM,"Attaque de morsure, pouvoir éventration, troll",Inflige des dégâts supplémentaire avec l'éventration pendant une morsure
Évolutions supplémentaires,AM,Capacité de classe eidolon,L'eidolon ajoute 1 point à sa réserve d'évolution
Expériences variées,MJRA,"Nain, elfe, ou gnome; 100 ans ou plus",Le personnage obtient un bonus de +2 à tous les tests de Connaissances et de Profession et il peut utiliser ces compétences même sans formation.
Expert du tir embusqué*,DTT,3 rangs en Discrétion,La pénalité au test de Discrétion des tirs embusqués est diminuée de moitié
Expertise du combat*,MJ,Int 13,Échange le bonus d'attaque contre un bonus de CA
Expertise magique majeure,MJRA,"Expertise magique mineure, capacité à lancer des sorts de 9e niveau",Lancer un sort de niveau inférieur ou égal à 5 comme pouvoir magique 2/jour
Expertise magique mineure,MJRA,Capacité à lancer des sorts de 4e niveau,Lancer un sort de 1er niveau comme pouvoir magique 2/jour
Expertise martiale orque*,MR,"BBA +1, orque",Gain de capacités uniques avec les armes orques
Exploit de sapeur,D&M,4 rangs en Connaissances (exploration souterraine),"Le personnage bénéficie d’un bonus d’intuition de +4 aux tests de manœuvres offensives effectuées contre des adversaires situés sur du terrain difficile rocheux comme des débris, un sol endommagé, ou des escaliers abrupts."
Exploitation arcanique supplémentaire,MCA,Capacité de classe exploitation d'arcaniste,Gain d'une exploitation d'arcaniste supplémentaire
Exploitation des connaissances,AM,"Capacité de classe connaissance des monstres, BBA +11",Le personnage utilise ses connaissances pour gagner des bonus à l'attaque et aux dégâts contre une unique créature
Explorateur des profondeurs,CSU,Explorer une partie des caves du marécage au centre naval de l'Empire décadent,Le personnage gagne un bonus de +2 aux tests de Connaissances (exploration souterraine) et aux tests de Perception qui visent à repérer un piège. Il considère toujours Connaissances (exploration souterraine) comme une compétence de classe.
Explosion assourdissante,MR,"Capacité de classe bombes, hobgobelin",Réduit les dégâts des bombes pour assourdir leurs cibles
Explosion d'adieu,AO,Capacité de classe explosion cinétique,Le corps explose à la mort
Explosion retardée,AO,"Capacité de classe explosion cinétique, BBA +3",Retarde l'explosion cinétique
Expression divine,ISG,"Barde de niveau 1, prêtre ou oracle de niveau 1, suivant de Shélyn",Ajoute les niveaux d'oracle ou de prêtre à ceux de barde pour faire progresser la représentation bardique
Extension de pouvoir magique,B1,Pouvoir magique avec un NLS de 6 ou plus,Utilisations supplémentaires d'un pouvoir magique avec une version améliorée
Familier évolué,AM,"Int 13, Cha 13, capacité de classe familier",Le familier gagne une évolution d'eidolon
Familier guêpe,DTT,"Alignement Chaotique Neutre, suivant de la déesse-elfe aux trois visages",Gagne un familier guêpe ou diablotin
Familier libéré,MCA,"NLS 5, capacité de classe familier",Le familier reçoit de loin les sorts de contact à transmettre
Familier supérieur,MJ,"Capacité à obtenir un familier, voir texte",Acquisition d'un familier plus puissant
Fanfaronnades,UI,"Cha 13, 1 rang en Bluff, 1 rang en Intimidation",Force les créatures à croire au Bluff
Fantôme concentré,AO,Capacité de classe interférence spirituelle,"Quand le personnage est adjacent à son fantôme ou que ce dernier occupe sa conscience, il reçoit un bonus de +4 aux tests de concentration ."
Fantôme d'ombre,MR,"Fetchelin, traversée des ombres comme pouvoir magique",Gain d'une utilisation supplémentaire de traversée des ombres
